manuscript_item,reported_claim,included_output,rows_or_filter,reproduction_code,source_identity,audit
Table I Panel A,"package-default sign disagreement by ambient dimension",replication/results/monte_carlo/dimension_scaling/dimension_metrics.csv,"method=ordinary_default; dimensions 40, 100, 250, 500",replication/code/r/run_dimension_scaling.R,current_release_code,replication/code/python/audit_tables.py
Table I Panel B,"fixed-candidate-budget sign disagreement by multiplicity",replication/results/monte_carlo/sign_disagreement/robustness_metrics.csv,"panel=dose_response; multiplicity 1, 2, 4, 8, 16",replication/code/r/run_sign_disagreement.R,current_release_code,replication/code/python/audit_tables.py
Table I Panel C,"representation, second-seed, and class-sampled comparisons",replication/results/monte_carlo/seed_sensitivity/seed_benchmark_metrics.csv,"comparison=representation or second_seed",replication/code/r/run_seed_sensitivity.R,current_release_code,replication/code/python/audit_tables.py
Table I Panel C class-sampled row,"exactly zero class-sampled sign disagreement",replication/results/monte_carlo/dimension_scaling/dimension_metrics.csv,"dimension=500; method=class_sampled_default",replication/code/r/run_dimension_scaling.R,current_release_code,replication/code/python/audit_tables.py
Table II,"Kenya rank correlation and selected-status switching",replication/results/kenya/representation_sensitivity.csv,"named representation rows",replication/code/r/run_fixed_budget_study.R,replication/metadata/kenya_source_provenance.csv,replication/code/python/audit_tables.py
Table III Panel A,"tree-count robustness for margin-restricted sign disagreement",replication/results/monte_carlo/sign_disagreement/robustness_metrics.csv,"panel=tree_robustness; trees 800 and 5000; metric=strong_reversal_010",replication/code/r/run_sign_disagreement.R,current_release_code,replication/code/python/audit_tables.py
Table III Panel B,"ordinary and class-sampled Kenya switching across three seeds",replication/results/kenya/class_sampling.csv,"five noncanonical scenarios by method and seed",replication/code/r/run_class_sampling_study.R,replication/metadata/kenya_source_provenance.csv,replication/code/python/audit_tables.py
Table III Panel C,"exact finite-array prediction and reported-standard-error equality",replication/results/verification/class_sampled_reported_equality.csv,"single deterministic row",replication/code/r/verify_reported_equality.R,current_release_code,replication/code/python/audit_tables.py
Candidate-opportunity paragraph,"expected candidate count and family inclusion probabilities",replication/results/verification/candidate_opportunity.csv,"multiplicity 1 and 128",replication/code/r/run_fixed_budget_study.R,replication/metadata/kenya_source_provenance.csv,replication/code/python/audit_tables.py
Finite-array class maps,"certified weak-order split classes",replication/results/kenya/class_maps.csv,"all scenarios and seeds",replication/code/r/run_class_sampling_study.R,replication/metadata/kenya_source_provenance.csv,replication/code/python/audit_tables.py
Source-facing grf identities,"relabeling, split-score, and prediction identities",replication/results/verification/verify_source_grf_transfer.json,"all deterministic cases",replication/code/javascript/verify_source_grf_transfer.js,current_release_code,scripts/verify_release.sh
Hazard and phase identities,"successful-resolution and fixed-M identities",replication/results/verification/verify_search_depth_phase.json,"all deterministic cases",replication/code/javascript/verify_successful_resolution.js,current_release_code,scripts/verify_release.sh
Semantic absorption,"class-level transition and absorption identities",replication/results/verification/verify_semantic_absorption.json,"all deterministic cases",replication/code/javascript/verify_semantic_absorption.js,current_release_code,scripts/verify_release.sh
