package,version,source_or_role
R,4.3.3,"reference runtime"
grf,2.4.0,"CRAN package; source audit pinned to tag v2.4.0 commit 11ead50b374d3f7bd8cc88ee7205fb348efd1624"
haven,2.5.4,"Stata input"
R6,2.6.1,"recorded namespace"
tidyselect,1.2.1,"recorded namespace"
Matrix,1.6-5,"recorded namespace"
lattice,0.22-5,"recorded namespace"
tzdb,0.5.0,"recorded namespace"
magrittr,2.0.3,"recorded namespace"
glue,1.8.0,"recorded namespace"
tibble,3.3.0,"recorded namespace"
pkgconfig,2.0.3,"recorded namespace"
readr,2.1.5,"recorded namespace"
lifecycle,1.0.4,"recorded namespace"
cli,3.6.5,"recorded namespace"
vctrs,0.6.5,"recorded namespace"
withr,3.0.2,"recorded namespace"
forcats,1.0.0,"recorded namespace"
hms,1.1.3,"recorded namespace"
pillar,1.11.0,"recorded namespace"
Rcpp,1.1.0,"recorded namespace"
rlang,1.1.6,"recorded namespace"
Python,"3.x standard library only","table audit"
Node.js,"dependency-light ECMAScript runtime","deterministic proof checks"
