study,scenario,source_features,added_columns,formula,certificate_domain,claim
Kenya,administrative_aliases,"hh_size; employed; owns_land; owns_radio_tv",4,"x_alias=x","observed training/prediction array","exact same values"
Kenya,unit_recodings,"hh_size; meals; protein_meals",3,"x_standardized=(x-mean(pool))/sd(pool)","observed training/prediction array","same weak order"
Kenya,complements,"female_head; employed; owns_land",3,"x_complement=min(pool)+max(pool)-x","observed training/prediction array","reverse weak order"
Kenya,raw_log_rank,"hh_size; meals; protein_meals",6,"x_log=log1p(x-min(pool)); x_rank=average_rank(pool)","observed training/prediction array","same weak order and tie blocks"
Kenya,routine_bundle,"all four Kenya bundles above",16,"union of administrative_aliases; unit_recodings; complements; raw_log_rank","observed training/prediction array","same certified threshold libraries within class"
Kenya,graded_exact_copies,"hh_size; female_head; employed; owns_land; owns_radio_tv; protein_meals","as named in results/kenya/representation_sensitivity.csv","x_copy=x","observed sample","literal copies"
Kenya,balanced_clone_008,"all 16 baseline predictors",112,"seven added literal copies per predictor","observed sample","balanced class multiplicity"
Sign simulation,multiplicity_library,"x01 or x02","first m maps for m in {1;2;4;8;16}","standardize; complement; affine units; log1p shift; average rank; square shift; exp; cube shift; sqrt shift; logistic; atan; asinh; reciprocal; normal cdf; fourth power; sinh","pooled training/evaluation array","same weak order up to reversal"
Sign simulation,default_dimension,"x01 or x02",8,"standardize; complement; affine units; log1p shift; average rank; square shift; exp; cube shift","pooled training/evaluation array","same weak order up to reversal"
Class-sampled correction,certificate,"every input column",0,"weak ordering plus tie blocks; identified with reversal","complete declared training/deployment array","one canonical threshold-action class"
